source,reference,product_id,name,brand,price,price_cents,availability,color,image_url,product_url,category
zara,456207934,456207934,ZW COLLECTION SHINY JACKET,Zara,129.0,12900,in_stock,Dark brown,https://static.zara.net/assets/public/cbca/7489/73ee4aa883de/2903c6a480b6/03548245716-a3/03548245716-a3.jpg?ts=1756288123379,https://www.zara.com/us/en/zw-collection-shiny-jacket-p03548245.html,jackets
zara,456207934,456207934,ZW COLLECTION SHINY JACKET,Zara,129.0,12900,in_stock,Dark brown,https://static.zara.net/assets/public/983e/a09b/24cc41dea466/a280a84dad5a/03548245716-p/03548245716-p.jpg?ts=1756288128795,https://www.zara.com/us/en/zw-collection-shiny-jacket-p03548245.html,jackets
zara,465180337,465180337,ZW COLLECTION LIMITED EDITION LEATHER BOMBER JACKET,Zara,599.0,59900,in_stock,Black,https://static.zara.net/assets/public/ce79/c068/c3d54cf2b3b4/a7979c2d3498/03322240800-a1/03322240800-a1.jpg?ts=1758879427869,https://www.zara.com/us/en/zw-collection-limited-edition-leather-bomber-jacket-p03322240.html,jackets
zara,490638421,490638421,WOOL BLEND BOMBER JACKET ZW COLLECTION,Zara,129.0,12900,in_stock,Navy blue,https://static.zara.net/assets/public/c8d6/2993/3bb049e6975c/e6c5c47e3a09/07522271401-p/07522271401-p.jpg?ts=1758887163487,https://www.zara.com/us/en/wool-blend-bomber-jacket-zw-collection-p07522271.html,jackets
zara,487763114,487763114,HOODED BOMBER JACKET,Zara,35.94,3594,in_stock,Indigo,https://static.zara.net/assets/public/7b0b/5b0e/062c41199d90/440831d619d7/04387250405-p/04387250405-p.jpg?ts=1757427465166,https://www.zara.com/us/en/hooded-bomber-jacket-p04387250.html,jackets
zara,487172350,487172350,SOFT ZIP JACKET,Zara,59.9,5990,in_stock,Gray,https://static.zara.net/assets/public/fab0/cd66/2cd24059b6d3/9908815a32e8/03046267802-a1/03046267802-a1.jpg?ts=1757084874689,https://www.zara.com/us/en/soft-zip-jacket-p03046265.html,jackets
zara,486950718,486950718,ZW COLLECTION REVERSIBLE SHORT TRENCH COAT,Zara,129.0,12900,in_stock,Black / Brown,https://static.zara.net/assets/public/3532/22fa/39704be39dbc/191a512148df/07522269099-2-p/07522269099-2-p.jpg?ts=1756994950223,https://www.zara.com/us/en/zw-collection-reversible-short-trench-coat-p07522269.html,jackets
zara,452708297,452708297,WATER REPELLENT JACKET ZW COLLECTION,Zara,129.0,12900,in_stock,Chocolate,https://static.zara.net/assets/public/bcb3/c045/d3ca4d92a182/403c2b845868/00155242717-a6/00155242717-a6.jpg?ts=1757003357021,https://www.zara.com/us/en/water-repellent-jacket-zw-collection-p00155242.html,jackets
zara,462023314,462023314,WASHED EFFECT LEATHER JACKET,Zara,359.0,35900,in_stock,Brown,https://static.zara.net/assets/public/f01c/b2dc/12804dc18264/edea55ab0c8a/05601814700-p/05601814700-p.jpg?ts=1758714155475,https://www.zara.com/us/en/washed-effect-leather-jacket-p05601814.html,jackets
zara,486950826,486950826,100% SUEDE LEATHER JACKET,Zara,229.0,22900,in_stock,Champagne,https://static.zara.net/assets/public/d2f0/8808/de374342ba8e/c287885f164d/04341744713-p/04341744713-p.jpg?ts=1756998189573,https://www.zara.com/us/en/100-suede-leather-jacket-p04341744.html,jackets
zara,455947738,455947738,EMBROIDERED VELVET PUFFER JACKET,Zara,199.0,19900,in_stock,Plum,https://static.zara.net/assets/public/733c/5c7b/52fe4c1496b2/88bdae13d306/02488205647-a4/02488205647-a4.jpg?ts=1758883294140,https://www.zara.com/us/en/embroidered-velvet-puffer-jacket-p02488205.html,jackets
zara,490398603,490398603,LEATHER FRINGE CAPE,Zara,359.0,35900,in_stock,Brown,https://static.zara.net/assets/public/dc93/f218/d3984a17906f/200570852a28/03920276700-a3/03920276700-a3.jpg?ts=1758723799862,https://www.zara.com/us/en/leather-fringe-cape-p03920276.html,jackets
zara,459927896,459927896,EMBROIDERED FAUX SUEDE BOMBER JACKET,Zara,99.9,9990,in_stock,Khaki,https://static.zara.net/assets/public/48ae/a5b8/b9ae4bf49123/dd8c95909704/08372292505-a5/08372292505-a5.jpg?ts=1755863362072,https://www.zara.com/us/en/embroidered-faux-suede-bomber-jacket-p08372292.html,jackets
zara,459159643,459159643,FAUX SUEDE HOODED BOMBER JACKET,Zara,79.9,7990,in_stock,taupe brown,https://static.zara.net/assets/public/b07e/fd94/50b24defbf78/6c6f36a9078a/06318240704-a3/06318240704-a3.jpg?ts=1755868369719,https://www.zara.com/us/en/faux-suede-hooded-bomber-jacket-p06318240.html,jackets
zara,482653450,482653450,MAXI POCKET PARKA,Zara,99.9,9990,in_stock,Olive Green,https://static.zara.net/assets/public/5fe9/89e2/54194c6aa010/77c4048309fa/05854810545-a1/05854810545-a1.jpg?ts=1754637323364,https://www.zara.com/us/en/maxi-pocket-parka-p05854810.html,jackets
zara,452744053,452744053,TRF DENIM CAPE JACKET,Zara,69.9,6990,in_stock,Mid-blue,https://static.zara.net/assets/public/a881/2a10/73ca42bdaaf7/0121a85edfc9/00250271427-a2/00250271427-a2.jpg?ts=1754638678161,https://www.zara.com/us/en/trf-denim-cape-jacket-p00250271.html,jackets
zara,484406268,484406268,TRF DENIM JACKET,Zara,79.9,7990,in_stock,Blue,https://static.zara.net/assets/public/d00e/ef8f/14cf4ed8801e/c36607c3499d/01300070400-p/01300070400-p.jpg?ts=1755679703243,https://www.zara.com/us/en/trf-denim-jacket-p01300070.html,jackets
zara,484406268,484406268,TRF DENIM JACKET,Zara,79.9,7990,in_stock,Blue,https://static.zara.net/assets/public/6281/da3b/7f2e4cd8a877/5bc859b4e735/01300070400-a1/01300070400-a1.jpg?ts=1755679703395,https://www.zara.com/us/en/trf-denim-jacket-p01300070.html,jackets
zara,487172347,487172347,SOFT BOMBER JACKET,Zara,59.9,5990,in_stock,Black,https://static.zara.net/assets/public/bbe3/9339/186948f9a21f/f0f4c2990dab/03046070800-p/03046070800-p.jpg?ts=1757084874569,https://www.zara.com/us/en/soft-bomber-jacket-p03046070.html,jackets
zara,478966231,478966231,HOODED JACKET WITH ELASTIC HEM,Zara,79.9,7990,in_stock,Brown,https://static.zara.net/assets/public/2940/dcce/c53343ceb16a/99a3a6634b94/02949228700-p/02949228700-p.jpg?ts=1757575439060,https://www.zara.com/us/en/hooded-jacket-with-elastic-hem-p02949228.html,jackets
zara,490156535,490156535,SHINY JACQUARD BOMBER JACKET,Zara,89.9,8990,in_stock,Ocher,https://static.zara.net/assets/public/f8fa/6181/77f144e5b447/4cc4a5aca777/09658799703-p/09658799703-p.jpg?ts=1762524862165,https://www.zara.com/us/en/shiny-jacquard-bomber-jacket-p09658799.html,jackets
zara,492286652,492286652,METALLIC THREAD TEXTURED WRAP JACKET,Zara,89.9,8990,in_stock,Navy blue,https://static.zara.net/assets/public/5824/87e6/501f42a4b747/a1fc13438531/09748607401-p/09748607401-p.jpg?ts=1762523250062,https://www.zara.com/us/en/metallic-thread-textured-wrap-jacket-p09748607.html,jackets
zara,489955358,489955358,SATIN BOMBER JACKET,Zara,89.9,8990,in_stock,Green,https://static.zara.net/assets/public/85fc/f83f/b30845d5bb58/3a24c266e400/09629566500-p/09629566500-p.jpg?ts=1762522639266,https://www.zara.com/us/en/satin-bomber-jacket-p09629566.html,jackets
zara,480181267,480181267,ZW COLLECTION OVERSIZED LINEN JACKET,Zara,149.0,14900,in_stock,Mustard,https://static.zara.net/assets/public/2fe9/6af3/f99846f08332/13b27e8490e7/08292491305-p/08292491305-p.jpg?ts=1753804829886,https://www.zara.com/us/en/zw-collection-oversized-linen-jacket-p08292491.html,jackets
zara,456853643,456853643,PLEATED JACKET WITH TABS ZW COLLECTION,Zara,149.0,14900,in_stock,Chocolate,https://static.zara.net/assets/public/fbd2/613e/bb7248598ce3/21c5f2c05241/08091427717-000-p/08091427717-000-p.jpg?ts=1753809439544,https://www.zara.com/us/en/pleated-jacket-with-tabs-zw-collection-p08091427.html,jackets
zara,457833584,457833584,100% LINEN BOMBER JACKET ZW COLLECTION,Zara,149.0,14900,in_stock,White,https://static.zara.net/assets/public/0736/8145/40aa4681973a/09f8f4c0d0a7/08143327250-a5/08143327250-a5.jpg?ts=1752507146734,https://www.zara.com/us/en/100-linen-bomber-jacket-zw-collection-p08143327.html,jackets
zara,482587459,482587459,ZW COLLECTION LINEN BLEND BOMBER,Zara,169.0,16900,in_stock,Brick,https://static.zara.net/assets/public/99af/31e2/812847bcbdab/502aa99c878b/08332586701-a1/08332586701-a1.jpg?ts=1754577337882,https://www.zara.com/us/en/zw-collection-linen-blend-bomber-p08332586.html,jackets
zara,457833592,457833592,ZW COLLECTION FLUID BOMBER JACKET,Zara,119.0,11900,in_stock,Brown / Taupe,https://static.zara.net/assets/public/1719/79de/419f450ebd5a/c93c5c08ce7e/03305240737-a1/03305240737-a1.jpg?ts=1756739804311,https://www.zara.com/us/en/zw-collection-fluid-bomber-jacket-p03305240.html,jackets
zara,452723306,452723306,ZW COLLECTION WOOL JACKET WITH ZIP,Zara,129.0,12900,in_stock,Black,https://static.zara.net/assets/public/5e38/aba7/b48b422ebe8f/65fb43b6102c/08491256800-a1/08491256800-a1.jpg?ts=1756398089568,https://www.zara.com/us/en/zw-collection-wool-jacket-with-zip-p08491245.html,jackets
zara,452739539,452739539,EMBROIDERED JACKET,Zara,149.0,14900,in_stock,Bluish,https://static.zara.net/assets/public/8ab8/43ee/85d944c7abbf/d5eac25eccce/04786207420-p/04786207420-p.jpg?ts=1752132335391,https://www.zara.com/us/en/embroidered-jacket-p04786207.html,jackets
zara,452739539,452739539,EMBROIDERED JACKET,Zara,149.0,14900,in_stock,Bluish,https://static.zara.net/assets/public/f436/bc8f/ce3f4b0eb303/89b66ce62e58/04786207420-a1/04786207420-a1.jpg?ts=1752132332277,https://www.zara.com/us/en/embroidered-jacket-p04786207.html,jackets
zara,452744147,452744147,EMBROIDERED KAFTAN,Zara,129.0,12900,in_stock,Pink,https://static.zara.net/assets/public/c2eb/eb34/a01a442b8e82/aee2e1bceb8a/02855202620-p/02855202620-p.jpg?ts=1752132329631,https://www.zara.com/us/en/embroidered-kaftan-p02855202.html,jackets
zara,480296321,480296321,ZW COLLECTION JACQUARD KIMONO JACKET,Zara,149.0,14900,in_stock,Russet,https://static.zara.net/assets/public/8fc4/f2ed/f1804f308802/79200011a7c0/08883993670-p/08883993670-p.jpg?ts=1757340297189,https://www.zara.com/us/en/zw-collection-jacquard-kimono-jacket-p08883993.html,jackets
zara,458058644,458058644,ZW COLLECTION RIBBED JACKET,Zara,129.0,12900,in_stock,Chocolate,https://static.zara.net/assets/public/cc9f/419b/be1e4bd3a785/657ae32d8152/04369253717-p/04369253717-p.jpg?ts=1757340296655,https://www.zara.com/us/en/zw-collection-ribbed-jacket-p04369253.html,jackets
zara,463738889,463738889,ZW COLLECTION CONTRAST COLLAR JACKET,Zara,129.0,12900,in_stock,Navy blue,https://static.zara.net/assets/public/c935/285a/a98c47718b10/7cf000168608/04369254401-a3/04369254401-a3.jpg?ts=1756987517969,https://www.zara.com/us/en/zw-collection-contrast-collar-jacket-p04369254.html,jackets
zara,462613968,462613968,ZW COLLECTION REVERSIBLE SHORT TRENCH COAT,Zara,129.0,12900,in_stock,Black / Brown,https://static.zara.net/assets/public/4523/c82d/f16245ceb695/ba850d3d017a/07522269099-p/07522269099-p.jpg?ts=1757064499035,https://www.zara.com/us/en/zw-collection-reversible-short-trench-coat-p07522269.html,jackets
zara,494354618,494354618,ZW COLLECTION FAUX FUR CROPPED JACKET,Zara,169.0,16900,in_stock,Beige,https://static.zara.net/assets/public/9cc3/ee4e/793046e5a3da/1d88ec162dff/03945243710-p/03945243710-p.jpg?ts=1760529194698,https://www.zara.com/us/en/zw-collection-faux-fur-cropped-jacket-p03945243.html,jackets
zara,452729087,452729087,ZW COLLECTION WATER REPELLENT SHORT TRENCH COAT,Zara,119.0,11900,in_stock,Ecru,https://static.zara.net/assets/public/94ea/f2d1/627645a397d9/abaf821572be/03811243712-p/03811243712-p.jpg?ts=1754922064189,https://www.zara.com/us/en/zw-collection-faux-fur-collar-jacket-p03811243.html,jackets
zara,475168122,475168122,DETACHABLE COLLAR FAUX SUEDE JACKET,Zara,119.0,11900,in_stock,Brown,https://static.zara.net/assets/public/c2e2/6167/036047969dcc/1cd53cdebd91/04341786700-p/04341786700-p.jpg?ts=1759481084218,https://www.zara.com/us/en/detachable-collar-faux-suede-jacket-p04341786.html,jackets
zara,470109953,470109953,SOFT BOMBER JACKET,Zara,49.9,4990,in_stock,Light gray,https://static.zara.net/assets/public/4fc1/021e/060c40818b32/bf06ee2d8b92/05063869811-a2/05063869811-a2.jpg?ts=1759488480302,https://www.zara.com/us/en/soft-bomber-jacket-p05063869.html,jackets
zara,452748314,452748314,ZW COLLECTION WATER REPELLENT TRENCH COAT,Zara,119.0,11900,in_stock,Light khaki,https://static.zara.net/assets/public/7d60/8775/ab2f4f6b9e5e/f6f231dcdd05/00518242506-a1/00518242506-a1.jpg?ts=1755087655354,https://www.zara.com/us/en/zw-collection-water-repellent-trench-coat-p00518242.html,jackets
zara,467647096,467647096,ZW COLLECTION SHORT JACKET,Zara,119.0,11900,in_stock,Black,https://static.zara.net/assets/public/6786/130e/e9b640f1a9ad/331517383aa0/08481065800-a1/08481065800-a1.jpg?ts=1755533164259,https://www.zara.com/us/en/zw-collection-short-jacket-p08481065.html,jackets
zara,462541813,462541813,ZW COLLECTION POCKET JACKET,Zara,129.0,12900,in_stock,Brown,https://static.zara.net/assets/public/eed0/994a/87624df3852c/c20b52066de4/08042209700-a3/08042209700-a3.jpg?ts=1755598941017,https://www.zara.com/us/en/zw-collection-pocket-jacket-p08042209.html,jackets
zara,458122725,458122725,ZW COLLECTION CROSSOVER DENIM JACKET,Zara,99.9,9990,in_stock,Faded blue,https://static.zara.net/assets/public/a7a1/69b9/50d44e298a07/2cca193d6efe/09632243428-p/09632243428-p.jpg?ts=1753802592810,https://www.zara.com/us/en/zw-collection-crossover-denim-jacket-p09632243.html,jackets
zara,466704785,466704785,LIMITED EDITION REVERSIBLE JACKET,Zara,319.0,31900,in_stock,Chocolate,https://static.zara.net/assets/public/46a1/b5ed/be5a4d819803/4356d40a9554/03548900717-a2/03548900717-a2.jpg?ts=1760462149361,https://www.zara.com/us/en/limited-edition-reversible-jacket-p03548900.html,jackets
zara,472185010,472185010,CONTRASTING HERRINGBONE LIMITED EDITION BOMBER JACKET,Zara,339.0,33900,in_stock,Black,https://static.zara.net/assets/public/6477/6daa/57af45879bb2/e2493ac38050/08695750800-p/08695750800-p.jpg?ts=1760462554206,https://www.zara.com/us/en/contrasting-herringbone-limited-edition-bomber-jacket-p08695750.html,jackets
